time,pitch_position,pitch_velocity
1746695748.97447,-0.933772624,-56
1746695748.98665,-0.933772624,-56
1746695748.99754,-0.933772624,-56
1746695749.0086,-0.933772624,-56
1746695749.01967,-0.933772624,-56
1746695749.0306,-0.933772624,-56
1746695749.04197,-0.933772624,-56
1746695749.05307,-0.933772624,-56
1746695749.06393,-0.933772624,-56
1746695749.07511,-0.933772624,-56
1746695749.0862,-0.933772624,-56
1746695749.09716,-0.933772624,-56
1746695749.10861,-0.933772624,-56
1746695749.11972,-0.933772624,-56
1746695749.13078,-0.933772624,-56
1746695749.14184,-0.933772624,-56
1746695749.15316,-0.933772624,-56
1746695749.16391,-0.933772624,-56
1746695749.17535,-0.933772624,-56
1746695749.18658,-0.933772624,-56
1746695749.19782,-0.933772624,-56
1746695749.2088,-0.933772624,-56
1746695749.21987,-0.933772624,-56
1746695749.23083,-0.933772624,-56
1746695749.24203,-0.933772624,-56
1746695749.25312,-0.933772624,-56
1746695749.26406,-0.933772624,-56
1746695749.27501,-0.933772624,-56
1746695749.28604,-0.933772624,-56
1746695749.29695,-0.933772624,-56
1746695749.30823,-0.933772624,-56
1746695749.31937,-0.933772624,-56
1746695749.33029,-0.933772624,-56
1746695749.34169,-0.933772624,-56
1746695749.35267,-0.933772624,-56
1746695749.36377,-0.933772624,-56
1746695749.37497,-0.933772624,-56
1746695749.38603,-0.933772624,-56
1746695749.39725,-0.933772624,-56
1746695749.4082,-0.933772624,-56
1746695749.41918,-0.933772624,-56
1746695749.43009,-0.933772624,-56
1746695749.44139,-0.933772624,-56
1746695749.45249,-0.933772624,-56
1746695749.46362,-0.933772624,-56
1746695749.47498,-0.933772624,-56
1746695749.48623,-0.933772624,-56
1746695749.49715,-0.933772624,-56
1746695749.50839,-0.933772624,-56
1746695749.51948,-0.933772624,-56
1746695749.53053,-0.933772624,-56
1746695749.54153,-0.933772624,-56
1746695749.55259,-0.933772624,-56
1746695749.5637,-0.933772624,-56
1746695749.57483,-0.933772624,-56
1746695749.58597,-0.933772624,-56
1746695749.59709,-0.933772624,-56
1746695749.60833,-0.933772624,-56
1746695749.61959,-0.933772624,-56
1746695749.63049,-0.933772624,-56
1746695749.64165,-0.933772624,-56
1746695749.65254,-0.933772624,-56
1746695749.66347,-0.933772624,-56
1746695749.67494,-0.933772624,-56
1746695749.686,-0.933772624,-56
1746695749.69694,-0.933772624,-56
1746695749.7081,-0.933772624,-56
